id,new,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
35,0,1,1,1,https://tcmobileapi.17usoft.com,tcmobileapi.17usoft.com,1,cd.node.tcylgslb.com,140.143.84.81,1,0,443,200,OK,'',openresty,140.143.84.0/22,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国四川省成都市,电信,IP138Query
36,0,1,1,1,http://tcmobileapi.17usoft.com,tcmobileapi.17usoft.com,1,cd.node.tcylgslb.com,140.143.84.81,1,0,80,200,OK,'',openresty,140.143.84.0/22,AS45090,Shenzhen Tencent Computer Systems Company Limited,中国四川省成都市,电信,IP138Query
37,0,1,1,1,https://tcmobileapi.t.17usoft.com,tcmobileapi.t.17usoft.com,2,tcmobileapi.t.17usoft.com,58.211.111.21,1,1,443,200,OK,Welcome to OpenResty!,openresty/1.11.2.5,58.211.96.0/19,AS4134,China Telecom,中国江苏省苏州市,电信,IP138Query
38,0,1,1,1,http://tcmobileapi.t.17usoft.com,tcmobileapi.t.17usoft.com,2,tcmobileapi.t.17usoft.com,58.211.111.21,1,1,80,200,OK,Welcome to OpenResty!,openresty/1.11.2.5,58.211.96.0/19,AS4134,China Telecom,中国江苏省苏州市,电信,IP138Query
39,0,0,0,1,http://tcopenapi.17usoft.com,tcopenapi.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,80,,"(ReadTimeoutError(""HTTPConnectionPool(host='tcopenapi.17usoft.com', port=80): Read timed out. (read timeout=27)""),)",,,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
40,0,0,0,1,https://tcopenapi.17usoft.com,tcopenapi.17usoft.com,1,tlb-xhy-01.vip.tcylgslb.com,61.177.22.232,1,0,443,,"(ReadTimeoutError(""HTTPSConnectionPool(host='tcopenapi.17usoft.com', port=443): Read timed out. (read timeout=27)""),)",,,61.177.22.0/24,AS23650,AS Number for CHINANET jiangsu province backbone,中国江苏省苏州市,电信,IP138Query
41,0,0,0,1,https://tcservice.17usoft.com,tcservice.17usoft.com,1,tcservice.17usoft.com,10.254.251.8,0,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='tcservice.17usoft.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000201F9867608>, 'Connection to tcservice.17usoft.com timed out. (connect timeout=3.05)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,CeBaiduQuery
42,0,0,0,1,http://tcservice.17usoft.com,tcservice.17usoft.com,1,tcservice.17usoft.com,10.254.251.8,0,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='tcservice.17usoft.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000201F98A25C8>, 'Connection to tcservice.17usoft.com timed out. (connect timeout=3.05)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,CeBaiduQuery
43,0,0,0,1,http://tcstore1.17usoft.com,tcstore1.17usoft.com,1,tcstore1.17usoft.com,10.254.251.8,0,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='tcstore1.17usoft.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000201F98A0108>, 'Connection to tcstore1.17usoft.com timed out. (connect timeout=3.05)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,IP138Query
44,0,0,0,1,https://tcstore1.17usoft.com,tcstore1.17usoft.com,1,tcstore1.17usoft.com,10.254.251.8,0,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='tcstore1.17usoft.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000201F9A3C2C8>, 'Connection to tcstore1.17usoft.com timed out. (connect timeout=3.05)'))""),)",,,10.0.0.0/8,AS-,-,内网IP,内网IP,IP138Query
