id,new,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
33,0,0,0,1,http://jwzx.dali.edu.cn,jwzx.dali.edu.cn,1,jwzx.dali.edu.cn,202.203.16.56,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='jwzx.dali.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8ed4603d68>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,CrtshQuery
34,0,0,0,1,https://jwzx.dali.edu.cn,jwzx.dali.edu.cn,1,jwzx.dali.edu.cn,202.203.16.56,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='jwzx.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8ed45f1668>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,CrtshQuery
35,1,0,1,1,https://jxgc.dali.edu.cn,jxgc.dali.edu.cn,1,jxgc.dali.edu.cn,202.203.16.36,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
36,1,0,1,1,http://jxgc.dali.edu.cn,jxgc.dali.edu.cn,1,jxgc.dali.edu.cn,202.203.16.36,1,0,80,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
37,0,1,1,1,http://mail.dali.edu.cn,mail.dali.edu.cn,1,mail.dali.edu.cn,202.203.16.40,1,1,80,200,OK,Coremail System,nginx,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,BaiduSearch
38,0,1,1,1,https://mail.dali.edu.cn,mail.dali.edu.cn,1,mail.dali.edu.cn,202.203.16.40,1,1,443,200,OK,Coremail System,nginx,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,BaiduSearch
39,0,0,0,1,http://mzs.dali.edu.cn,mzs.dali.edu.cn,1,mzs.dali.edu.cn,202.203.16.7,1,0,80,,"(MaxRetryError(""HTTPConnectionPool(host='mzs.dali.edu.cn', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f8ed45884a8>, 'Connection to mzs.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
40,0,0,0,1,https://mzs.dali.edu.cn,mzs.dali.edu.cn,1,mzs.dali.edu.cn,202.203.16.7,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='mzs.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8ed46ec9b0>, 'Connection to mzs.dali.edu.cn timed out. (connect timeout=3.05)'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
41,0,0,0,1,https://payment.dali.edu.cn,payment.dali.edu.cn,1,payment.dali.edu.cn,202.203.16.11,1,0,443,,"(MaxRetryError(""HTTPSConnectionPool(host='payment.dali.edu.cn', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8ed4633978>: Failed to establish a new connection: [Errno 111] Connection refused'))""),)",,,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
42,0,1,1,1,http://payment.dali.edu.cn,payment.dali.edu.cn,1,payment.dali.edu.cn,202.203.16.11,1,1,80,200,OK,大理大学-校园安心付-下载APP,Apache,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,Sublist3rQuery
43,1,0,1,1,http://portal.dali.edu.cn,portal.dali.edu.cn,1,portal.dali.edu.cn,202.203.16.37,1,0,80,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
44,1,0,1,1,https://portal.dali.edu.cn,portal.dali.edu.cn,1,portal.dali.edu.cn,202.203.16.37,1,0,443,502,Bad Gateway,访问出错 - 502,none,202.203.16.0/24,AS4538,China Education and Research Network Center,中国云南省大理,教育网,RapidDNSQuery
